"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
3;"A023";"A 023";"Gathering of non-wood forest products";""
4;"A0230";"A 0230";"Gathering of non-wood forest products";""
3;"A024";"A 024";"Support services to forestry";""
4;"A0240";"A 0240";"Support services to forestry";""
2;"A03";"A 03";"Fishing and aquaculture";""
3;"A031";"A 031";"Fishing";""
4;"A0311";"A 0311";"Marine fishing";""
4;"A0312";"A 0312";"Freshwater fishing";""
3;"A032";"A 032";"Aquaculture";""
4;"A0321";"A 0321";"Marine aquaculture";""
4;"A0322";"A 0322";"Freshwater aquaculture";""
1;"B";"B";"Mining and quarrying";""
2;"B05";"B 05";"Mining of coal and lignite";""
3;"B051";"B 051";"Mining of hard coal";""
4;"B0510";"B 0510";"Mining of hard coal";""
3;"B052";"B 052";"Mining of lignite";""
4;"B0520";"B 0520";"Mining of lignite";""
2;"B06";"B 06";"Extraction of crude petroleum and natural gas";""
3;"B061";"B 061";"Extraction of crude petroleum";""
4;"B0610";"B 0610";"Extraction of crude petroleum";""
3;"B062";"B 062";"Extraction of natural gas";""
4;"B0620";"B 0620";"Extraction of natural gas";""
2;"B07";"B 07";"Mining of metal ores";""
3;"B071";"B 071";"Mining of iron ores";""
4;"B0710";"B 0710";"Mining of iron ores";""
3;"B072";"B 072";"Mining of non-ferrous metal ores";""
4;"B0721";"B 0721";"Mining of uranium and thorium ores";""
4;"B0729";"B 0729";"Mining of other non-ferrous metal ores";""
2;"B08";"B 08";"Other mining and quarrying";""
3;"B081";"B 081";"Quarrying of stone, sand and clay";""
4;"B0810";"B 0810";"Quarrying of stone, sand and clay";""
3;"B089";"B 089";"Mining and quarrying n.e.c.";""
4;"B0891";"B 0891";"Mining of chemical and fertilizer minerals";""
4;"B0892";"B 0892";"Extraction of peat";""
4;"B0893";"B 0893";"Extraction of salt";""
4;"B0899";"B 0899";"Other mining and quarrying n.e.c.";""
2;"B09";"B 09";"Mining support service activities";""
3;"B091";"B 091";"Support activities for petroleum and natural gas extraction";""
4;"B0910";"B 0910";"Support activities for petroleum and natural gas extraction";""
3;"B099";"B 099";"Support activities for other mining and quarrying";""
4;"B0990";"B 0990";"Support activities for other mining and quarrying";""
1;"C";"C";"Manufacturing";""
2;"C10";"C 10";"Manufacture of food products";""
3;"C101";"C 101";"Processing and preserving of meat";""
4;"C1010";"C 1010";"Processing and preserving of meat";""
3;"C102";"C 102";"Processing and preserving of fish, crustaceans and molluscs";""
4;"C1020";"C 1020";"Processing and preserving of fish, crustaceans and molluscs";""
3;"C103";"C 103";"Processing and preserving of fruit and vegetables";""
4;"C1030";"C 1030";"Processing and preserving of fruit and vegetables";""
3;"C104";"C 104";"Manufacture of vegetable and animal oils and fats";""
4;"C1040";"C 1040";"Manufacture of vegetable and animal oils and fats";""
3;"C105";"C 105";"Manufacture of dairy products";""
4;"C1050";"C 1050";"Manufacture of dairy products";""
3;"C106";"C 106";"Manufacture of grain mill products, starches and starch products";""
4;"C1061";"C 1061";"Manufacture of grain mill products";""
4;"C1062";"C 1062";"Manufacture of starches and starch products";""
3;"C107";"C 107";"Manufacture of other food products";""
4;"C1071";"C 1071";"Manufacture of bakery products";""
4;"C1072";"C 1072";"Manufacture of sugar";""
4;"C1073";"C 1073";"Manufacture of cocoa, chocolate and sugar confectionery";""
4;"C1074";"C 1074";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";""
4;"C1075";"C 1075";"Manufacture of prepared meals and dishes";""
4;"C1079";"C 1079";"Manufacture of other food products n.e.c.";""
3;"C108";"C 108";"Manufacture of prepared animal feeds";""
4;"C1080";"C 1080";"Manufacture of prepared animal feeds";""
2;"C11";"C 11";"Manufacture of beverages";""
3;"C110";"C 110";"Manufacture of beverages";""
4;"C1101";"C 1101";"Distilling, rectifying and blending of spirits";""
4;"C1102";"C 1102";"Manufacture of wines";""
4;"C1103";"C 1103";"Manufacture of malt liquors and malt";""
4;"C1104";"C 1104";"Manufacture of soft drinks; production of mineral waters and other bottled waters";""
2;"C12";"C 12";"Manufacture of tobacco products";""
3;"C120";"C 120";"Manufacture of tobacco products";""
4;"C1200";"C 1200";"Manufacture of tobacco products";""
2;"C13";"C 13";"Manufacture of textiles";""
3;"C131";"C 131";"Spinning, weaving and finishing of textiles";""
4;"C1311";"C 1311";"Preparation and spinning of textile fibres";""
4;"C1312";"C 1312";"Weaving of textiles";""
4;"C1313";"C 1313";"Finishing of textiles";""
3;"C139";"C 139";"Manufacture of other textiles";""
4;"C1391";"C 1391";"Manufacture of knitted and crocheted fabrics";""
4;"C1392";"C 1392";"Manufacture of made-up textile articles, except apparel";""
4;"C1393";"C 1393";"Manufacture of carpets and rugs";""
4;"C1394";"C 1394";"Manufacture of cordage, rope, twine and netting";""
4;"C1399";"C 1399";"Manufacture of other textiles n.e.c.";""
2;"C14";"C 14";"Manufacture of wearing apparel";""
3;"C141";"C 141";"Manufacture of wearing apparel, except fur apparel";""
4;"C1410";"C 1410";"Manufacture of wearing apparel, except fur apparel";""
3;"C142";"C 142";"Manufacture of articles of fur";""
4;"C1420";"C 1420";"Manufacture of articles of fur";""
3;"C143";"C 143";"Manufacture of knitted and crocheted apparel";""
4;"C1430";"C 1430";"Manufacture of knitted and crocheted apparel";""
2;"C15";"C 15";"Manufacture of leather and related products";""
3;"C151";"C 151";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur";""
4;"C1511";"C 1511";"Tanning and dressing of leather; dressing and dyeing of fur";""
4;"C1512";"C 1512";"Manufacture of luggage, handbags and the like, saddlery and harness";""
3;"C152";"C 152";"Manufacture of footwear";""
4;"C1520";"C 1520";"Manufacture of footwear";""
2;"C16";"C 16";"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";""
3;"C161";"C 161";"Sawmilling and planing of wood";""
4;"C1610";"C 1610";"Sawmilling and planing of wood";""
3;"C162";"C 162";"Manufacture of products of wood, cork, straw and plaiting materials";""
4;"C1621";"C 1621";"Manufacture of veneer sheets and wood-based panels";""
4;"C1622";"C 1622";"Manufacture of builders' carpentry and joinery";""
4;"C1623";"C 1623";"Manufacture of wooden containers";""
4;"C1629";"C 1629";"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials";""
2;"C17";"C 17";"Manufacture of paper and paper products";""
3;"C170";"C 170";"Manufacture of paper and paper products";""
4;"C1701";"C 1701";"Manufacture of pulp, paper and paperboard";""
4;"C1702";"C 1702";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";""
4;"C1709";"C 1709";"Manufacture of other articles of paper and paperboard";""
2;"C18";"C 18";"Printing and reproduction of recorded media";""
3;"C181";"C 181";"Printing and service activities related to printing";""
4;"C1811";"C 1811";"Printing";""
4;"C1812";"C 1812";"Service activities related to printing";""
3;"C182";"C 182";"Reproduction of recorded media";""
4;"C1820";"C 1820";"Reproduction of recorded media";""
2;"C19";"C 19";"Manufacture of coke and refined petroleum products";""
3;"C191";"C 191";"Manufacture of coke oven products";""
4;"C1910";"C 1910";"Manufacture of coke oven products";""
3;"C192";"C 192";"Manufacture of refined petroleum products";""
4;"C1920";"C 1920";"Manufacture of refined petroleum products";""
2;"C20";"C 20";"Manufacture of chemicals and chemical products";""
3;"C201";"C 201";"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms";""
4;"C2011";"C 2011";"Manufacture of basic chemicals";""
4;"C2012";"C 2012";"Manufacture of fertilizers and nitrogen compounds";""
4;"C2013";"C 2013";"Manufacture of plastics and synthetic rubber in primary forms";""
3;"C202";"C 202";"Manufacture of other chemical products";""
4;"C2021";"C 2021";"Manufacture of pesticides and other agrochemical products";""
4;"C2022";"C 2022";"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";""
4;"C2023";"C 2023";"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations";""
4;"C2029";"C 2029";"Manufacture of other chemical products n.e.c.";""
3;"C203";"C 203";"Manufacture of man-made fibres";""
4;"C2030";"C 2030";"Manufacture of man-made fibres";""
2;"C21";"C 21";"Manufacture of basic pharmaceutical products and pharmaceutical preparations";""
3;"C210";"C 210";"Manufacture of pharmaceuticals, medicinal chemical and botanical products";""
4;"C2100";"C 2100";"Manufacture of pharmaceuticals, medicinal chemical and botanical products";""
2;"C22";"C 22";"Manufacture of rubber and plastics products";""
3;"C221";"C 221";"Manufacture of rubber products";""
4;"C2211";"C 2211";"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres";""
4;"C2219";"C 2219";"Manufacture of other rubber products";""
3;"C222";"C 222";"Manufacture of plastics products";""
4;"C2220";"C 2220";"Manufacture of plastics products";""
2;"C23";"C 23";"Manufacture of other non-metallic mineral products";""
3;"C231";"C 231";"Manufacture of glass and glass products";""
4;"C2310";"C 2310";"Manufacture of glass and glass products";""
3;"C239";"C 239";"Manufacture of non-metallic mineral products n.e.c.";""
4;"C2391";"C 2391";"Manufacture of refractory products";""
4;"C2392";"C 2392";"Manufacture of clay building materials";""
4;"C2393";"C 2393";"Manufacture of other porcelain and ceramic products";""
4;"C2394";"C 2394";"Manufacture of cement, lime and plaster";""
4;"C2395";"C 2395";"Manufacture of articles of concrete, cement and plaster";""
4;"C2396";"C 2396";"Cutting, shaping and finishing of stone";""
4;"C2399";"C 2399";"Manufacture of other non-metallic mineral products n.e.c.";""
2;"C24";"C 24";"Manufacture of basic metals";""
3;"C241";"C 241";"Manufacture of basic iron and steel";""
4;"C2410";"C 2410";"Manufacture of basic iron and steel";""
3;"C242";"C 242";"Manufacture of basic precious and other non-ferrous metals";""
4;"C2420";"C 2420";"Manufacture of basic precious and other non-ferrous metals";""
3;"C243";"C 243";"Casting of metals";""
4;"C2431";"C 2431";"Casting of iron and steel";""
4;"C2432";"C 2432";"Casting of non-ferrous metals";""
2;"C25";"C 25";"Manufacture of fabricated metal products, except machinery and equipment";""
3;"C251";"C 251";"Manufacture of structural metal products, tanks, reservoirs and steam generators";""
4;"C2511";"C 2511";"Manufacture of structural metal products";""
4;"C2512";"C 2512";"Manufacture of tanks, reservoirs and containers of metal";""
4;"C2513";"C 2513";"Manufacture of steam generators, except central heating hot water boilers";""
3;"C252";"C 252";"Manufacture of weapons and ammunition";""
4;"C2520";"C 2520";"Manufacture of weapons and ammunition";""
3;"C259";"C 259";"Manufacture of other fabricated metal products; metalworking service activities";""
4;"C2591";"C 2591";"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";""
4;"C2592";"C 2592";"Treatment and coating of metals; machining";""
4;"C2593";"C 2593";"Manufacture of cutlery, hand tools and general hardware";""
4;"C2599";"C 2599";"Manufacture of other fabricated metal products n.e.c.";""
2;"C26";"C 26";"Manufacture of computer, electronic and optical products";""
3;"C261";"C 261";"Manufacture of electronic components and boards";""
4;"C2610";"C 2610";"Manufacture of electronic components and boards";""
3;"C262";"C 262";"Manufacture of computers and peripheral equipment";""
4;"C2620";"C 2620";"Manufacture of computers and peripheral equipment";""
3;"C263";"C 263";"Manufacture of communication equipment";""
4;"C2630";"C 2630";"Manufacture of communication equipment";""
3;"C264";"C 264";"Manufacture of consumer electronics";""
4;"C2640";"C 2640";"Manufacture of consumer electronics";""
3;"C265";"C 265";"Manufacture of measuring, testing, navigating and control equipment; watches and clocks";""
4;"C2651";"C 2651";"Manufacture of measuring, testing, navigating and control equipment";""
4;"C2652";"C 2652";"Manufacture of watches and clocks";""
3;"C266";"C 266";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";""
4;"C2660";"C 2660";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";""
3;"C267";"C 267";"Manufacture of optical instruments and photographic equipment";""
4;"C2670";"C 2670";"Manufacture of optical instruments and photographic equipment";""
3;"C268";"C 268";"Manufacture of magnetic and optical media";""
4;"C2680";"C 2680";"Manufacture of magnetic and optical media";""
2;"C27";"C 27";"Manufacture of electrical equipment";""
3;"C271";"C 271";"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus";""
4;"C2710";"C 2710";"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus";""
3;"C272";"C 272";"Manufacture of batteries and accumulators";""
4;"C2720";"C 2720";"Manufacture of batteries and accumulators";""
3;"C273";"C 273";"Manufacture of wiring and wiring devices";""
4;"C2731";"C 2731";"Manufacture of fibre optic cables";""
4;"C2732";"C 2732";"Manufacture of other electronic and electric wires and cables";""
4;"C2733";"C 2733";"Manufacture of wiring devices";""
3;"C274";"C 274";"Manufacture of electric lighting equipment";""
4;"C2740";"C 2740";"Manufacture of electric lighting equipment";""
3;"C275";"C 275";"Manufacture of domestic appliances";""
4;"C2750";"C 2750";"Manufacture of domestic appliances";""
3;"C279";"C 279";"Manufacture of other electrical equipment";""
4;"C2790";"C 2790";"Manufacture of other electrical equipment";""
2;"C28";"C 28";"Manufacture of machinery and equipment n.e.c.";""
3;"C281";"C 281";"Manufacture of general-purpose machinery";""
4;"C2811";"C 2811";"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines";""
4;"C2812";"C 2812";"Manufacture of fluid power equipment";""
4;"C2813";"C 2813";"Manufacture of other pumps, compressors, taps and valves";""
4;"C2814";"C 2814";"Manufacture of bearings, gears, gearing and driving elements";""
4;"C2815";"C 2815";"Manufacture of ovens, furnaces and furnace burners";""
4;"C2816";"C 2816";"Manufacture of lifting and handling equipment";""
4;"C2817";"C 2817";"Manufacture of office machinery and equipment (except computers and peripheral equipment)";""
4;"C2818";"C 2818";"Manufacture of power-driven hand tools";""
4;"C2819";"C 2819";"Manufacture of other general-purpose machinery";""
3;"C282";"C 282";"Manufacture of special-purpose machinery";""
4;"C2821";"C 2821";"Manufacture of agricultural and forestry machinery";""
4;"C2822";"C 2822";"Manufacture of metal-forming machinery and machine tools";""
4;"C2823";"C 2823";"Manufacture of machinery for metallurgy";""
4;"C2824";"C 2824";"Manufacture of machinery for mining, quarrying and construction";""
4;"C2825";"C 2825";"Manufacture of machinery for food, beverage and tobacco processing";""
4;"C2826";"C 2826";"Manufacture of machinery for textile, apparel and leather production";""
4;"C2829";"C 2829";"Manufacture of other special-purpose machinery";""
2;"C29";"C 29";"Manufacture of motor vehicles, trailers and semi-trailers";""
3;"C291";"C 291";"Manufacture of motor vehicles";""
4;"C2910";"C 2910";"Manufacture of motor vehicles";""
3;"C292";"C 292";"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers";""
4;"C2920";"C 2920";"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers";""
3;"C293";"C 293";"Manufacture of parts and accessories for motor vehicles";""
4;"C2930";"C 2930";"Manufacture of parts and accessories for motor vehicles";""
2;"C30";"C 30";"Manufacture of other transport equipment";""
3;"C301";"C 301";"Building of ships and boats";""
4;"C3011";"C 3011";"Building of ships and floating structures";""
4;"C3012";"C 3012";"Building of pleasure and sporting boats";""
3;"C302";"C 302";"Manufacture of railway locomotives and rolling stock";""
4;"C3020";"C 3020";"Manufacture of railway locomotives and rolling stock";""
3;"C303";"C 303";"Manufacture of air and spacecraft and related machinery";""
4;"C3030";"C 3030";"Manufacture of air and spacecraft and related machinery";""
3;"C304";"C 304";"Manufacture of military fighting vehicles";""
4;"C3040";"C 3040";"Manufacture of military fighting vehicles";""
3;"C309";"C 309";"Manufacture of transport equipment n.e.c.";""
4;"C3091";"C 3091";"Manufacture of motorcycles";""
4;"C3092";"C 3092";"Manufacture of bicycles and invalid carriages";""
4;"C3099";"C 3099";"Manufacture of other transport equipment n.e.c.";""
2;"C31";"C 31";"Manufacture of furniture";""
3;"C310";"C 310";"Manufacture of furniture";""
4;"C3100";"C 3100";"Manufacture of furniture";""
2;"C32";"C 32";"Other manufacturing";""
3;"C321";"C 321";"Manufacture of jewellery, bijouterie and related articles";""
4;"C3211";"C 3211";"Manufacture of jewellery and related articles";""
4;"C3212";"C 3212";"Manufacture of imitation jewellery and related articles";""
3;"C322";"C 322";"Manufacture of musical instruments";""
4;"C3220";"C 3220";"Manufacture of musical instruments";""
3;"C323";"C 323";"Manufacture of sports goods";""
4;"C3230";"C 3230";"Manufacture of sports goods";""
3;"C324";"C 324";"Manufacture of games and toys";""
4;"C3240";"C 3240";"Manufacture of games and toys";""
3;"C325";"C 325";"Manufacture of medical and dental instruments and supplies";""
4;"C3250";"C 3250";"Manufacture of medical and dental instruments and supplies";""
3;"C329";"C 329";"Other manufacturing n.e.c.";""
4;"C3290";"C 3290";"Other manufacturing n.e.c.";""
2;"C33";"C 33";"Repair and installation of machinery and equipment";""
3;"C331";"C 331";"Repair of fabricated metal products, machinery and equipment";""
4;"C3311";"C 3311";"Repair of fabricated metal products";""
4;"C3312";"C 3312";"Repair of machinery";""
4;"C3313";"C 3313";"Repair of electronic and optical equipment";""
4;"C3314";"C 3314";"Repair of electrical equipment";""
4;"C3315";"C 3315";"Repair of transport equipment, except motor vehicles";""
4;"C3319";"C 3319";"Repair of other equipment";""
3;"C332";"C 332";"Installation of industrial machinery and equipment";""
4;"C3320";"C 3320";"Installation of industrial machinery and equipment";""
1;"D";"D";"Electricity, gas, steam and air conditioning supply";""
2;"D35";"D 35";"Electricity, gas, steam and air conditioning supply";""
3;"D351";"D 351";"Electric power generation, transmission and distribution";""
4;"D3510";"D 3510";"Electric power generation, transmission and distribution";""
3;"D352";"D 352";"Manufacture of gas; distribution of gaseous fuels through mains";""
4;"D3520";"D 3520";"Manufacture of gas; distribution of gaseous fuels through mains";""
3;"D353";"D 353";"Steam and air conditioning supply";""
4;"D3530";"D 3530";"Steam and air conditioning supply";""
1;"E";"E";"Water supply; sewerage, waste management and remediation activities";""
2;"E36";"E 36";"Water collection, treatment and supply";""
3;"E360";"E 360";"Water collection, treatment and supply";""
4;"E3600";"E 3600";"Water collection, treatment and supply";""
2;"E37";"E 37";"Sewerage";""
3;"E370";"E 370";"Sewerage";""
4;"E3700";"E 3700";"Sewerage";""
2;"E38";"E 38";"Waste collection, treatment and disposal activities; materials recovery";""
3;"E381";"E 381";"Waste collection";""
4;"E3811";"E 3811";"Collection of non-hazardous waste";""
4;"E3812";"E 3812";"Collection of hazardous waste";""
3;"E382";"E 382";"Waste treatment and disposal";""
4;"E3821";"E 3821";"Treatment and disposal of non-hazardous waste";""
4;"E3822";"E 3822";"Treatment and disposal of hazardous waste";""
3;"E383";"E 383";"Materials recovery";""
4;"E3830";"E 3830";"Materials recovery";""
2;"E39";"E 39";"Remediation activities and other waste management services";""
3;"E390";"E 390";"Remediation activities and other waste management services";""
4;"E3900";"E 3900";"Remediation activities and other waste management services";""
1;"F";"F";"Construction";""
2;"F41";"F 41";"Construction of buildings";""
3;"F410";"F 410";"Construction of buildings";""
4;"F4100";"F 4100";"Construction of buildings";""
2;"F42";"F 42";"Civil engineering";""
3;"F421";"F 421";"Construction of roads and railways";""
4;"F4210";"F 4210";"Construction of roads and railways";""
3;"F422";"F 422";"Construction of utility projects";""
4;"F4220";"F 4220";"Construction of utility projects";""
3;"F429";"F 429";"Construction of other civil engineering projects";""
4;"F4290";"F 4290";"Construction of other civil engineering projects";""
2;"F43";"F 43";"Specialized construction activities";""
3;"F431";"F 431";"Demolition and site preparation";""
4;"F4311";"F 4311";"Demolition";""
4;"F4312";"F 4312";"Site preparation";""
3;"F432";"F 432";"Electrical, plumbing and other construction installation activities";""
4;"F4321";"F 4321";"Electrical installation";""
4;"F4322";"F 4322";"Plumbing, heat and air-conditioning installation";""
4;"F4329";"F 4329";"Other construction installation";""
3;"F433";"F 433";"Building completion and finishing";""
4;"F4330";"F 4330";"Building completion and finishing";""
3;"F439";"F 439";"Other specialized construction activities";""
4;"F4390";"F 4390";"Other specialized construction activities";""
1;"G";"G";"Wholesale and retail trade; repair of motor vehicles and motorcycles";""
2;"G45";"G 45";"Wholesale and retail trade and repair of motor vehicles and motorcycles";""
3;"G451";"G 451";"Sale of motor vehicles";""
4;"G4510";"G 4510";"Sale of motor vehicles";""
3;"G452";"G 452";"Maintenance and repair of motor vehicles";""
4;"G4520";"G 4520";"Maintenance and repair of motor vehicles";""
3;"G453";"G 453";"Sale of motor vehicle parts and accessories";""
4;"G4530";"G 4530";"Sale of motor vehicle parts and accessories";""
3;"G454";"G 454";"Sale, maintenance and repair of motorcycles and related parts and accessories";""
4;"G4540";"G 4540";"Sale, maintenance and repair of motorcycles and related parts and accessories";""
2;"G46";"G 46";"Wholesale trade, except of motor vehicles and motorcycles";""
3;"G461";"G 461";"Wholesale on a fee or contract basis";""
4;"G4610";"G 4610";"Wholesale on a fee or contract basis";""
3;"G462";"G 462";"Wholesale of agricultural raw materials and live animals";""
4;"G4620";"G 4620";"Wholesale of agricultural raw materials and live animals";""
3;"G463";"G 463";"Wholesale of food, beverages and tobacco";""
4;"G4630";"G 4630";"Wholesale of food, beverages and tobacco";""
3;"G464";"G 464";"Wholesale of household goods";""
4;"G4641";"G 4641";"Wholesale of textiles, clothing and footwear";""
4;"G4649";"G 4649";"Wholesale of other household goods";""
3;"G465";"G 465";"Wholesale of machinery, equipment and supplies";""
4;"G4651";"G 4651";"Wholesale of computers, computer peripheral equipment and software";""
4;"G4652";"G 4652";"Wholesale of electronic and telecommunications equipment and parts";""
4;"G4653";"G 4653";"Wholesale of agricultural machinery, equipment and supplies";""
4;"G4659";"G 4659";"Wholesale of other machinery and equipment";""
3;"G466";"G 466";"Other specialized wholesale";""
4;"G4661";"G 4661";"Wholesale of solid, liquid and gaseous fuels and related products";""
4;"G4662";"G 4662";"Wholesale of metals and metal ores";""
4;"G4663";"G 4663";"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies";""
4;"G4669";"G 4669";"Wholesale of waste and scrap and other products n.e.c.";""
3;"G469";"G 469";"Non-specialized wholesale trade";""
4;"G4690";"G 4690";"Non-specialized wholesale trade";""
2;"G47";"G 47";"Retail trade, except of motor vehicles and motorcycles";""
3;"G471";"G 471";"Retail sale in non-specialized stores";""
4;"G4711";"G 4711";"Retail sale in non-specialized stores with food, beverages or tobacco predominating";""
4;"G4719";"G 4719";"Other retail sale in non-specialized stores";""
3;"G472";"G 472";"Retail sale of food, beverages and tobacco in specialized stores";""
4;"G4721";"G 4721";"Retail sale of food in specialized stores";""
4;"G4722";"G 4722";"Retail sale of beverages in specialized stores";""
4;"G4723";"G 4723";"Retail sale of tobacco products in specialized stores";""
3;"G473";"G 473";"Retail sale of automotive fuel in specialized stores";""
4;"G4730";"G 4730";"Retail sale of automotive fuel in specialized stores";""
3;"G474";"G 474";"Retail sale of information and communications equipment in specialized stores";""
4;"G4741";"G 4741";"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores";""
4;"G4742";"G 4742";"Retail sale of audio and video equipment in specialized stores";""
3;"G475";"G 475";"Retail sale of other household equipment in specialized stores";""
4;"G4751";"G 4751";"Retail sale of textiles in specialized stores";""
4;"G4752";"G 4752";"Retail sale of hardware, paints and glass in specialized stores";""
4;"G4753";"G 4753";"Retail sale of carpets, rugs, wall and floor coverings in specialized stores";""
4;"G4759";"G 4759";"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores";""
3;"G476";"G 476";"Retail sale of cultural and recreation goods in specialized stores";""
4;"G4761";"G 4761";"Retail sale of books, newspapers and stationary in specialized stores";""
4;"G4762";"G 4762";"Retail sale of music and video recordings in specialized stores";""
4;"G4763";"G 4763";"Retail sale of sporting equipment in specialized stores";""
4;"G4764";"G 4764";"Retail sale of games and toys in specialized stores";""
3;"G477";"G 477";"Retail sale of other goods in specialized stores";""
4;"G4771";"G 4771";"Retail sale of clothing, footwear and leather articles in specialized stores";""
4;"G4772";"G 4772";"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores";""
4;"G4773";"G 4773";"Other retail sale of new goods in specialized stores";""
4;"G4774";"G 4774";"Retail sale of second-hand goods";""
3;"G478";"G 478";"Retail sale via stalls and markets";""
4;"G4781";"G 4781";"Retail sale via stalls and markets of food, beverages and tobacco products";""
4;"G4782";"G 4782";"Retail sale via stalls and markets of textiles, clothing and footwear";""
4;"G4789";"G 4789";"Retail sale via stalls and markets of other goods";""
3;"G479";"G 479";"Retail trade not in stores, stalls or markets";""
4;"G4791";"G 4791";"Retail sale via mail order houses or via Internet";""
4;"G4799";"G 4799";"Other retail sale not in stores, stalls or markets";""
1;"H";"H";"Transportation and storage";""
2;"H49";"H 49";"Land transport and transport via pipelines";""
3;"H491";"H 491";"Transport via railways";""
4;"H4911";"H 4911";"Passenger rail transport, interurban";""
4;"H4912";"H 4912";"Freight rail transport";""
3;"H492";"H 492";"Other land transport";""
4;"H4921";"H 4921";"Urban and suburban passenger land transport";""
4;"H4922";"H 4922";"Other passenger land transport";""
4;"H4923";"H 4923";"Freight transport by road";""
3;"H493";"H 493";"Transport via pipeline";""
4;"H4930";"H 4930";"Transport via pipeline";""
2;"H50";"H 50";"Water transport";""
3;"H501";"H 501";"Sea and coastal water transport";""
4;"H5011";"H 5011";"Sea and coastal passenger water transport";""
4;"H5012";"H 5012";"Sea and coastal freight water transport";""
3;"H502";"H 502";"Inland water transport";""
4;"H5021";"H 5021";"Inland passenger water transport";""
4;"H5022";"H 5022";"Inland freight water transport";""
2;"H51";"H 51";"Air transport";""
3;"H511";"H 511";"Passenger air transport";""
4;"H5110";"H 5110";"Passenger air transport";""
3;"H512";"H 512";"Freight air transport";""
4;"H5120";"H 5120";"Freight air transport";""
