"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
5;"A01300";"A 01.30-0";"Plant propagation";""
3;"A014";"A 01.4";"Animal production";""
4;"A0141";"A 01.41";"Raising of dairy cattle";""
5;"A01410";"A 01.41-0";"Raising of dairy cattle";""
4;"A0142";"A 01.42";"Raising of other cattle and buffaloes";""
5;"A01420";"A 01.42-0";"Raising of other cattle and buffaloes";""
4;"A0143";"A 01.43";"Raising of horses and other equines";""
5;"A01430";"A 01.43-0";"Raising of horses and other equines";""
4;"A0144";"A 01.44";"Raising of camels and camelids";""
5;"A01440";"A 01.44-0";"Raising of camels and camelids";""
4;"A0145";"A 01.45";"Raising of sheep and goats";""
5;"A01450";"A 01.45-0";"Raising of sheep and goats";""
4;"A0146";"A 01.46";"Raising of swine/pigs";""
5;"A01460";"A 01.46-0";"Raising of swine/pigs";""
4;"A0147";"A 01.47";"Raising of poultry";""
5;"A01471";"A 01.47-1";"Breeding of poultry";""
5;"A01472";"A 01.47-2";"Poultry hatcheries and laying farms";""
4;"A0149";"A 01.49";"Raising of other animals";""
5;"A01490";"A 01.49-0";"Raising of other animals";""
3;"A015";"A 01.5";"Mixed farming";""
4;"A0150";"A 01.50";"Mixed farming";""
5;"A01500";"A 01.50-0";"Mixed farming";""
3;"A016";"A 01.6";"Support activities to agriculture and post-harvest crop activities";""
4;"A0161";"A 01.61";"Support activities for crop production";""
5;"A01610";"A 01.61-0";"Support activities for crop production";""
4;"A0162";"A 01.62";"Support activities for animal production";""
5;"A01620";"A 01.62-0";"Support activities for animal production";""
4;"A0163";"A 01.63";"Post-harvest crop activities";""
5;"A01630";"A 01.63-0";"Post-harvest crop activities";""
4;"A0164";"A 01.64";"Seed processing for propagation";""
5;"A01640";"A 01.64-0";"Seed processing for propagation";""
3;"A017";"A 01.7";"Hunting, trapping and related service activities";""
4;"A0170";"A 01.70";"Hunting, trapping and related service activities";""
5;"A01700";"A 01.70-0";"Hunting, trapping and related service activities";""
2;"A02";"A 02";"Forestry and logging";""
3;"A021";"A 02.1";"Silviculture and other forestry activities";""
4;"A0210";"A 02.10";"Silviculture and other forestry activities";""
5;"A02100";"A 02.10-0";"Silviculture and other forestry activities";""
3;"A022";"A 02.2";"Logging";""
4;"A0220";"A 02.20";"Logging";""
5;"A02200";"A 02.20-0";"Logging";""
3;"A023";"A 02.3";"Gathering of wild growing non-wood products";""
4;"A0230";"A 02.30";"Gathering of wild growing non-wood products";""
5;"A02300";"A 02.30-0";"Gathering of wild growing non-wood products";""
3;"A024";"A 02.4";"Support services to forestry";""
4;"A0240";"A 02.40";"Support services to forestry";""
5;"A02400";"A 02.40-0";"Support services to forestry";""
2;"A03";"A 03";"Fishing and aquaculture";""
3;"A031";"A 03.1";"Fishing";""
4;"A0311";"A 03.11";"Marine fishing";""
5;"A03110";"A 03.11-0";"Marine fishing";""
4;"A0312";"A 03.12";"Freshwater fishing";""
5;"A03120";"A 03.12-0";"Freshwater fishing";""
3;"A032";"A 03.2";"Aquaculture";""
4;"A0321";"A 03.21";"Marine aquaculture";""
5;"A03210";"A 03.21-0";"Marine aquaculture";""
4;"A0322";"A 03.22";"Freshwater aquaculture";""
5;"A03220";"A 03.22-0";"Freshwater aquaculture";""
1;"B";"B";"MINING AND QUARRYING";""
2;"B05";"B 05";"Mining of coal and lignite";""
3;"B051";"B 05.1";"Mining of hard coal";""
4;"B0510";"B 05.10";"Mining of hard coal";""
5;"B05100";"B 05.10-0";"Mining of hard coal";""
3;"B052";"B 05.2";"Mining of lignite";""
4;"B0520";"B 05.20";"Mining of lignite";""
5;"B05200";"B 05.20-0";"Mining of lignite";""
2;"B06";"B 06";"Extraction of crude petroleum and natural gas";""
3;"B061";"B 06.1";"Extraction of crude petroleum";""
4;"B0610";"B 06.10";"Extraction of crude petroleum";""
5;"B06100";"B 06.10-0";"Extraction of crude petroleum";""
3;"B062";"B 06.2";"Extraction of natural gas";""
4;"B0620";"B 06.20";"Extraction of natural gas";""
5;"B06200";"B 06.20-0";"Extraction of natural gas";""
2;"B07";"B 07";"Mining of metal ores";""
3;"B071";"B 07.1";"Mining of iron ores";""
4;"B0710";"B 07.10";"Mining of iron ores";""
5;"B07100";"B 07.10-0";"Mining of iron ores";""
3;"B072";"B 07.2";"Mining of non-ferrous metal ores";""
4;"B0721";"B 07.21";"Mining of uranium and thorium ores";""
5;"B07210";"B 07.21-0";"Mining of uranium and thorium ores";""
4;"B0729";"B 07.29";"Mining of other non-ferrous metal ores";""
5;"B07290";"B 07.29-0";"Mining of other non-ferrous metal ores";""
2;"B08";"B 08";"Other mining and quarrying";""
3;"B081";"B 08.1";"Quarrying of stone, sand and clay";""
4;"B0811";"B 08.11";"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate";""
5;"B08110";"B 08.11-0";"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate";""
4;"B0812";"B 08.12";"Operation of gravel and sand pits; mining of clays and kaolin";""
5;"B08120";"B 08.12-0";"Operation of gravel and sand pits; mining of clays and kaolin";""
3;"B089";"B 08.9";"Mining and quarrying n.e.c.";""
4;"B0891";"B 08.91";"Mining of chemical and fertiliser minerals";""
5;"B08910";"B 08.91-0";"Mining of chemical and fertiliser minerals";""
4;"B0892";"B 08.92";"Extraction of peat";""
5;"B08920";"B 08.92-0";"Extraction of peat";""
4;"B0893";"B 08.93";"Extraction of salt";""
5;"B08930";"B 08.93-0";"Extraction of salt";""
4;"B0899";"B 08.99";"Other mining and quarrying n.e.c.";""
5;"B08990";"B 08.99-0";"Other mining and quarrying n.e.c.";""
2;"B09";"B 09";"Mining support service activities";""
3;"B091";"B 09.1";"Support activities for petroleum and natural gas extraction";""
4;"B0910";"B 09.10";"Support activities for petroleum and natural gas extraction";""
5;"B09100";"B 09.10-0";"Support activities for petroleum and natural gas extraction";""
3;"B099";"B 09.9";"Support activities for other mining and quarrying";""
4;"B0990";"B 09.90";"Support activities for other mining and quarrying";""
5;"B09900";"B 09.90-0";"Support activities for other mining and quarrying";""
1;"C";"C";"MANUFACTURING";""
2;"C10";"C 10";"Manufacture of food products";""
3;"C101";"C 10.1";"Processing and preserving of meat and production of meat products";""
4;"C1011";"C 10.11";"Processing and preserving of meat";""
5;"C10110";"C 10.11-0";"Processing and preserving of meat";""
4;"C1012";"C 10.12";"Processing and preserving of poultry meat";""
5;"C10120";"C 10.12-0";"Processing and preserving of poultry meat";""
4;"C1013";"C 10.13";"Production of meat and poultry meat products";""
5;"C10130";"C 10.13-0";"Production of meat and poultry meat products";""
3;"C102";"C 10.2";"Processing and preserving of fish, crustaceans and molluscs";""
4;"C1020";"C 10.20";"Processing and preserving of fish, crustaceans and molluscs";""
5;"C10200";"C 10.20-0";"Processing and preserving of fish, crustaceans and molluscs";""
3;"C103";"C 10.3";"Processing and preserving of fruit and vegetables";""
4;"C1031";"C 10.31";"Processing and preserving of potatoes";""
5;"C10310";"C 10.31-0";"Processing and preserving of potatoes";""
4;"C1032";"C 10.32";"Manufacture of fruit and vegetable juice";""
5;"C10320";"C 10.32-0";"Manufacture of fruit and vegetable juice";""
4;"C1039";"C 10.39";"Other processing and preserving of fruit and vegetables";""
5;"C10390";"C 10.39-0";"Other processing and preserving of fruit and vegetables";""
3;"C104";"C 10.4";"Manufacture of vegetable and animal oils and fats";""
4;"C1041";"C 10.41";"Manufacture of oils and fats";""
5;"C10410";"C 10.41-0";"Manufacture of oils and fats";""
4;"C1042";"C 10.42";"Manufacture of margarine and similar edible fats";""
5;"C10420";"C 10.42-0";"Manufacture of margarine and similar edible fats";""
3;"C105";"C 10.5";"Manufacture of dairy products";""
4;"C1051";"C 10.51";"Operation of dairies and cheese making";""
5;"C10510";"C 10.51-0";"Operation of dairies and cheese making";""
4;"C1052";"C 10.52";"Manufacture of ice cream";""
5;"C10520";"C 10.52-0";"Manufacture of ice cream";""
3;"C106";"C 10.6";"Manufacture of grain mill products, starches and starch products";""
4;"C1061";"C 10.61";"Manufacture of grain mill products";""
5;"C10610";"C 10.61-0";"Manufacture of grain mill products";""
4;"C1062";"C 10.62";"Manufacture of starches and starch products";""
5;"C10620";"C 10.62-0";"Manufacture of starches and starch products";""
3;"C107";"C 10.7";"Manufacture of bakery and farinaceous products";""
4;"C1071";"C 10.71";"Manufacture of bread; manufacture of fresh pastry goods and cakes";""
5;"C10711";"C 10.71-1";"Manufacture of bread";""
5;"C10712";"C 10.71-2";"Manufacture of fresh pastry goods and cakes";""
4;"C1072";"C 10.72";"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes";""
5;"C10720";"C 10.72-0";"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes";""
4;"C1073";"C 10.73";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";""
5;"C10730";"C 10.73-0";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";""
3;"C108";"C 10.8";"Manufacture of other food products";""
4;"C1081";"C 10.81";"Manufacture of sugar";""
5;"C10810";"C 10.81-0";"Manufacture of sugar";""
4;"C1082";"C 10.82";"Manufacture of cocoa, chocolate and sugar confectionery";""
5;"C10820";"C 10.82-0";"Manufacture of cocoa, chocolate and sugar confectionery";""
4;"C1083";"C 10.83";"Processing of tea and coffee";""
5;"C10830";"C 10.83-0";"Processing of tea and coffee";""
4;"C1084";"C 10.84";"Manufacture of condiments and seasonings";""
5;"C10840";"C 10.84-0";"Manufacture of condiments and seasonings";""
4;"C1085";"C 10.85";"Manufacture of prepared meals and dishes";""
5;"C10850";"C 10.85-0";"Manufacture of prepared meals and dishes";""
4;"C1086";"C 10.86";"Manufacture of homogenised food preparations and dietetic food";""
5;"C10860";"C 10.86-0";"Manufacture of homogenised food preparations and dietetic food";""
4;"C1089";"C 10.89";"Manufacture of other food products n.e.c.";""
5;"C10890";"C 10.89-0";"Manufacture of other food products n.e.c.";""
3;"C109";"C 10.9";"Manufacture of prepared animal feeds";""
4;"C1091";"C 10.91";"Manufacture of prepared feeds for farm animals";""
5;"C10910";"C 10.91-0";"Manufacture of prepared feeds for farm animals";""
4;"C1092";"C 10.92";"Manufacture of prepared pet foods";""
5;"C10920";"C 10.92-0";"Manufacture of prepared pet foods";""
2;"C11";"C 11";"Manufacture of beverages";""
3;"C110";"C 11.0";"Manufacture of beverages";""
4;"C1101";"C 11.01";"Distilling, rectifying and blending of spirits";""
5;"C11010";"C 11.01-0";"Distilling, rectifying and blending of spirits";""
4;"C1102";"C 11.02";"Manufacture of wine from grape";""
5;"C11020";"C 11.02-0";"Manufacture of wine from grape";""
4;"C1103";"C 11.03";"Manufacture of cider and other fruit wines";""
5;"C11030";"C 11.03-0";"Manufacture of cider and other fruit wines";""
4;"C1104";"C 11.04";"Manufacture of other non-distilled fermented beverages";""
5;"C11040";"C 11.04-0";"Manufacture of other non-distilled fermented beverages";""
4;"C1105";"C 11.05";"Manufacture of beer";""
5;"C11050";"C 11.05-0";"Manufacture of beer";""
4;"C1106";"C 11.06";"Manufacture of malt";""
5;"C11060";"C 11.06-0";"Manufacture of malt";""
4;"C1107";"C 11.07";"Manufacture of soft drinks; production of mineral waters and other bottled waters";""
5;"C11070";"C 11.07-0";"Manufacture of soft drinks; production of mineral waters and other bottled waters";""
2;"C12";"C 12";"Manufacture of tobacco products";""
3;"C120";"C 12.0";"Manufacture of tobacco products";""
4;"C1200";"C 12.00";"Manufacture of tobacco products";""
5;"C12000";"C 12.00-0";"Manufacture of tobacco products";""
2;"C13";"C 13";"Manufacture of textiles";""
3;"C131";"C 13.1";"Preparation and spinning of textile fibres";""
4;"C1310";"C 13.10";"Preparation and spinning of textile fibres";""
5;"C13100";"C 13.10-0";"Preparation and spinning of textile fibres";""
3;"C132";"C 13.2";"Weaving of textiles";""
4;"C1320";"C 13.20";"Weaving of textiles";""
5;"C13200";"C 13.20-0";"Weaving of textiles";""
3;"C133";"C 13.3";"Finishing of textiles";""
4;"C1330";"C 13.30";"Finishing of textiles";""
5;"C13300";"C 13.30-0";"Finishing of textiles";""
3;"C139";"C 13.9";"Manufacture of other textiles";""
4;"C1391";"C 13.91";"Manufacture of knitted and crocheted fabrics";""
5;"C13910";"C 13.91-0";"Manufacture of knitted and crocheted fabrics";""
4;"C1392";"C 13.92";"Manufacture of made-up textile articles, except apparel";""
5;"C13920";"C 13.92-0";"Manufacture of made-up textile articles, except apparel";""
4;"C1393";"C 13.93";"Manufacture of carpets and rugs";""
5;"C13930";"C 13.93-0";"Manufacture of carpets and rugs;";""
4;"C1394";"C 13.94";"Manufacture of cordage, rope, twine and netting;";""
5;"C13940";"C 13.94-0";"Manufacture of cordage, rope, twine and netting;";""
4;"C1395";"C 13.95";"Manufacture of non-wovens and articles made from non-wovens, except apparel;";""
5;"C13950";"C 13.95-0";"Manufacture of non-wovens and articles made from non-wovens, except apparel;";""
4;"C1396";"C 13.96";"Manufacture of other technical and industrial textiles;";""
5;"C13960";"C 13.96-0";"Manufacture of other technical and industrial textiles;";""
4;"C1399";"C 13.99";"Manufacture of other textiles n.e.c.;";""
5;"C13991";"C 13.99-1";"Manufacture of embroideries;";""
5;"C13999";"C 13.99-9";"Manufacture of other textiles n.e.c. (except manufacture of embroideries);";""
2;"C14";"C 14";"Manufacture of wearing apparel;";""
3;"C141";"C 14.1";"Manufacture of wearing apparel, except fur apparel;";""
4;"C1411";"C 14.11";"Manufacture of leather clothes;";""
5;"C14110";"C 14.11-0";"Manufacture of leather clothes;";""
4;"C1412";"C 14.12";"Manufacture of workwear;";""
5;"C14120";"C 14.12-0";"Manufacture of workwear;";""
4;"C1413";"C 14.13";"Manufacture of other outerwear";""
5;"C14130";"C 14.13-0";"Manufacture of other outerwear";""
4;"C1414";"C 14.14";"Manufacture of underwear";""
5;"C14140";"C 14.14-0";"Manufacture of underwear";""
4;"C1419";"C 14.19";"Manufacture of other wearing apparel and accessories";""
5;"C14190";"C 14.19-0";"Manufacture of other wearing apparel and accessories";""
3;"C142";"C 14.2";"Manufacture of articles of fur";""
4;"C1420";"C 14.20";"Manufacture of articles of fur";""
5;"C14200";"C 14.20-0";"Manufacture of articles of fur";""
3;"C143";"C 14.3";"Manufacture of knitted and crocheted apparel";""
4;"C1431";"C 14.31";"Manufacture of knitted and crocheted hosiery";""
5;"C14310";"C 14.31-0";"Manufacture of knitted and crocheted hosiery";""
4;"C1439";"C 14.39";"Manufacture of other knitted and crocheted apparel";""
5;"C14390";"C 14.39-0";"Manufacture of other knitted and crocheted apparel";""
2;"C15";"C 15";"Manufacture of leather and related products";""
3;"C151";"C 15.1";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur";""
4;"C1511";"C 15.11";"Tanning and dressing of leather; dressing and dyeing of fur";""
5;"C15110";"C 15.11-0";"Tanning and dressing of leather; dressing and dyeing of fur";""
4;"C1512";"C 15.12";"Manufacture of luggage, handbags and the like, saddlery and harness";""
5;"C15120";"C 15.12-0";"Manufacture of luggage, handbags and the like, saddlery and harness";""
3;"C152";"C 15.2";"Manufacture of footwear";""
4;"C1520";"C 15.20";"Manufacture of footwear";""
5;"C15200";"C 15.20-0";"Manufacture of footwear";""
2;"C16";"C 16";"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";""
3;"C161";"C 16.1";"Sawmilling and planing of wood";""
4;"C1610";"C 16.10";"Sawmilling and planing of wood";""
5;"C16100";"C 16.10-0";"Sawmilling and planing of wood";""
3;"C162";"C 16.2";"Manufacture of products of wood, cork, straw and plaiting materials";""
4;"C1621";"C 16.21";"Manufacture of veneer sheets and wood-based panels";""
5;"C16210";"C 16.21-0";"Manufacture of veneer sheets and wood-based panels";""
4;"C1622";"C 16.22";"Manufacture of assembled parquet floors";""
5;"C16220";"C 16.22-0";"Manufacture of assembled parquet floors";""
4;"C1623";"C 16.23";"Manufacture of other builders' carpentry and joinery";""
5;"C16231";"C 16.23-1";"Manufacture of prefabricated buildings of wood";""
5;"C16239";"C 16.23-9";"Manufacture of other builders' carpentry and joinery n.e.c.";""
4;"C1624";"C 16.24";"Manufacture of wooden containers";""
5;"C16240";"C 16.24-0";"Manufacture of wooden containers";""
4;"C1629";"C 16.29";"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials";""
5;"C16290";"C 16.29-0";"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials";""
2;"C17";"C 17";"Manufacture of paper and paper products";""
3;"C171";"C 17.1";"Manufacture of pulp, paper and paperboard";""
4;"C1711";"C 17.11";"Manufacture of pulp";""
5;"C17110";"C 17.11-0";"Manufacture of pulp";""
4;"C1712";"C 17.12";"Manufacture of paper and paperboard";""
5;"C17120";"C 17.12-0";"Manufacture of paper and paperboard";""
3;"C172";"C 17.2";"Manufacture of articles of paper and paperboard";""
4;"C1721";"C 17.21";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";""
5;"C17210";"C 17.21-0";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";""
4;"C1722";"C 17.22";"Manufacture of household and sanitary goods and of toilet requisites";""
5;"C17220";"C 17.22-0";"Manufacture of household and sanitary goods and of toilet requisites";""
4;"C1723";"C 17.23";"Manufacture of paper stationery";""
5;"C17230";"C 17.23-0";"Manufacture of paper stationery";""
4;"C1724";"C 17.24";"Manufacture of wallpaper";""
5;"C17240";"C 17.24-0";"Manufacture of wallpaper";""
4;"C1729";"C 17.29";"Manufacture of other articles of paper and paperboard";""
5;"C17290";"C 17.29-0";"Manufacture of other articles of paper and paperboard";""
2;"C18";"C 18";"Printing and reproduction of recorded media";""
3;"C181";"C 18.1";"Printing and service activities related to printing";""
4;"C1811";"C 18.11";"Printing of newspapers";""
5;"C18110";"C 18.11-0";"Printing of newspapers";""
4;"C1812";"C 18.12";"Other printing";""
5;"C18120";"C 18.12-0";"Other printing";""
4;"C1813";"C 18.13";"Pre-press and pre-media services";""
5;"C18130";"C 18.13-0";"Pre-press and pre-media services";""
4;"C1814";"C 18.14";"Binding and related services";""
5;"C18140";"C 18.14-0";"Binding and related services";""
3;"C182";"C 18.2";"Reproduction of recorded media";""
4;"C1820";"C 18.20";"Reproduction of recorded media";""
5;"C18200";"C 18.20-0";"Reproduction of recorded media";""
2;"C19";"C 19";"Manufacture of coke and refined petroleum products";""
3;"C191";"C 19.1";"Manufacture of coke oven products";""
4;"C1910";"C 19.10";"Manufacture of coke oven products";""
5;"C19100";"C 19.10-0";"Manufacture of coke oven products";""
3;"C192";"C 19.2";"Manufacture of refined petroleum products";""
4;"C1920";"C 19.20";"Manufacture of refined petroleum products";""
5;"C19200";"C 19.20-0";"Manufacture of refined petroleum products";""
2;"C20";"C 20";"Manufacture of chemicals and chemical products";""
3;"C201";"C 20.1";"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms";""
4;"C2011";"C 20.11";"Manufacture of industrial gases";""
5;"C20110";"C 20.11-0";"Manufacture of industrial gases";""
4;"C2012";"C 20.12";"Manufacture of dyes and pigments";""
5;"C20120";"C 20.12-0";"Manufacture of dyes and pigments";""
4;"C2013";"C 20.13";"Manufacture of other inorganic basic chemicals";""
5;"C20130";"C 20.13-0";"Manufacture of other inorganic basic chemicals";""
4;"C2014";"C 20.14";"Manufacture of other organic basic chemicals";""
5;"C20140";"C 20.14-0";"Manufacture of other organic basic chemicals";""
4;"C2015";"C 20.15";"Manufacture of fertilisers and nitrogen compounds";""
5;"C20150";"C 20.15-0";"Manufacture of fertilisers and nitrogen compounds";""
4;"C2016";"C 20.16";"Manufacture of plastics in primary forms";""
5;"C20160";"C 20.16-0";"Manufacture of plastics in primary forms";""
4;"C2017";"C 20.17";"Manufacture of synthetic rubber in primary forms";""
5;"C20170";"C 20.17-0";"Manufacture of synthetic rubber in primary forms";""
3;"C202";"C 20.2";"Manufacture of pesticides and other agrochemical products";""
4;"C2020";"C 20.20";"Manufacture of pesticides and other agrochemical products";""
5;"C20200";"C 20.20-0";"Manufacture of pesticides and other agrochemical products";""
3;"C203";"C 20.3";"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";""
4;"C2030";"C 20.30";"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";""
5;"C20300";"C 20.30-0";"Manufacture of paints, varnishes and similar coatings, printing ink and mastics";""
3;"C204";"C 20.4";"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations";""
4;"C2041";"C 20.41";"Manufacture of soap and detergents, cleaning and polishing preparations";""
5;"C20410";"C 20.41-0";"Manufacture of soap and detergents, cleaning and polishing preparations";""
4;"C2042";"C 20.42";"Manufacture of perfumes and toilet preparations";""
5;"C20420";"C 20.42-0";"Manufacture of perfumes and toilet preparations";""
3;"C205";"C 20.5";"Manufacture of other chemical products";""
4;"C2051";"C 20.51";"Manufacture of explosives";""
5;"C20510";"C 20.51-0";"Manufacture of explosives";""
4;"C2052";"C 20.52";"Manufacture of glues";""
5;"C20520";"C 20.52-0";"Manufacture of glues";""
4;"C2053";"C 20.53";"Manufacture of essential oils";""
5;"C20530";"C 20.53-0";"Manufacture of essential oils";""
4;"C2059";"C 20.59";"Manufacture of other chemical products n.e.c.";""
5;"C20590";"C 20.59-0";"Manufacture of other chemical products n.e.c.";""
3;"C206";"C 20.6";"Manufacture of man-made fibres";""
4;"C2060";"C 20.60";"Manufacture of man-made fibres";""
5;"C20600";"C 20.60-0";"Manufacture of man-made fibres";""
2;"C21";"C 21";"Manufacture of basic pharmaceutical products and pharmaceutical preparations";""
3;"C211";"C 21.1";"Manufacture of basic pharmaceutical products";""
4;"C2110";"C 21.10";"Manufacture of basic pharmaceutical products";""
5;"C21100";"C 21.10-0";"Manufacture of basic pharmaceutical products";""
3;"C212";"C 21.2";"Manufacture of pharmaceutical preparations";""
4;"C2120";"C 21.20";"Manufacture of pharmaceutical preparations";""
5;"C21200";"C 21.20-0";"Manufacture of pharmaceutical preparations";""
2;"C22";"C 22";"Manufacture of rubber and plastic products";""
3;"C221";"C 22.1";"Manufacture of rubber products";""
4;"C2211";"C 22.11";"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres";""
5;"C22110";"C 22.11-0";"Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres";""
4;"C2219";"C 22.19";"Manufacture of other rubber products";""
5;"C22190";"C 22.19-0";"Manufacture of other rubber products";""
3;"C222";"C 22.2";"Manufacture of plastics products";""
4;"C2221";"C 22.21";"Manufacture of plastic plates, sheets, tubes and profiles";""
5;"C22210";"C 22.21-0";"Manufacture of plastic plates, sheets, tubes and profiles";""
4;"C2222";"C 22.22";"Manufacture of plastic packing goods";""
5;"C22220";"C 22.22-0";"Manufacture of plastic packing goods";""
4;"C2223";"C 22.23";"Manufacture of builders? ware of plastic";""
5;"C22231";"C 22.23-1";"Manufacture of doors, windows, frames, shutters and blinds of plastic";""
5;"C22239";"C 22.23-9";"Manufacture of other builders' ware of plastics";""
4;"C2229";"C 22.29";"Manufacture of other plastic products";""
5;"C22291";"C 22.29-1";"Manufacture of technical plastic parts";""
5;"C22299";"C 22.29-9";"Manufacture of other plastic products n.e.c.";""
2;"C23";"C 23";"Manufacture of other non-metallic mineral products";""
3;"C231";"C 23.1";"Manufacture of glass and glass products";""
4;"C2311";"C 23.11";"Manufacture of flat glass";""
5;"C23110";"C 23.11-0";"Manufacture of flat glass";""
4;"C2312";"C 23.12";"Shaping and processing of flat glass";""
5;"C23120";"C 23.12-0";"Shaping and processing of flat glass";""
4;"C2313";"C 23.13";"Manufacture of hollow glass";""
5;"C23130";"C 23.13-0";"Manufacture of hollow glass";""
4;"C2314";"C 23.14";"Manufacture of glass fibres";""
5;"C23140";"C 23.14-0";"Manufacture of glass fibres";""
4;"C2319";"C 23.19";"Manufacture and processing of other glass, including technical glassware";""
5;"C23190";"C 23.19-0";"Manufacture and processing of other glass, including technical glassware";""
3;"C232";"C 23.2";"Manufacture of refractory products";""
4;"C2320";"C 23.20";"Manufacture of refractory products";""
5;"C23200";"C 23.20-0";"Manufacture of refractory products";""
3;"C233";"C 23.3";"Manufacture of clay building materials";""
4;"C2331";"C 23.31";"Manufacture of ceramic tiles and flags";""
5;"C23310";"C 23.31-0";"Manufacture of ceramic tiles and flags";""
4;"C2332";"C 23.32";"Manufacture of bricks, tiles and construction products, in baked clay";""
5;"C23320";"C 23.32-0";"Manufacture of bricks, tiles and construction products, in baked clay";""
3;"C234";"C 23.4";"Manufacture of other porcelain and ceramic products";""
4;"C2341";"C 23.41";"Manufacture of ceramic household and ornamental articles";""
5;"C23410";"C 23.41-0";"Manufacture of ceramic household and ornamental articles";""
4;"C2342";"C 23.42";"Manufacture of ceramic sanitary fixtures";""
5;"C23420";"C 23.42-0";"Manufacture of ceramic sanitary fixtures";""
4;"C2343";"C 23.43";"Manufacture of ceramic insulators and insulating fittings";""
5;"C23430";"C 23.43-0";"Manufacture of ceramic insulators and insulating fittings";""
4;"C2344";"C 23.44";"Manufacture of other technical ceramic products";""
5;"C23440";"C 23.44-0";"Manufacture of other technical ceramic products";""
4;"C2349";"C 23.49";"Manufacture of other ceramic products";""
5;"C23490";"C 23.49-0";"Manufacture of other ceramic products";""
3;"C235";"C 23.5";"Manufacture of cement, lime and plaster";""
4;"C2351";"C 23.51";"Manufacture of cement";""
5;"C23510";"C 23.51-0";"Manufacture of cement";""
4;"C2352";"C 23.52";"Manufacture of lime and plaster";""
